,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
104,GSPL,1167742.0,276.0,No,No,No,,Yes,,Yes,,,,,
105,GTLINFRA,23703470.0,1.0,No,No,No,Yes,,,,,,,,
106,GUJGASLTD,2056198.0,490.0,No,No,No,Yes,,,,Yes,,,,
107,HAL,644901.0,2511.0,Yes,Yes,No,Yes,,,,,,,,
108,HATHWAY,1233783.0,17.0,No,No,No,Yes,,,,,,,,
109,HAVELLS,2453128.0,1167.0,No,No,No,Yes,,,Yes,,21,,,Yes
110,HBLPOWER,1540756.0,103.0,No,No,No,Yes,,,,Yes,,,,
111,HCC,39422167.0,21.0,No,No,No,Yes,,,,Yes,63,,,
112,HCLTECH,2294863.0,1044.0,No,Yes,No,,,,Yes,,,,,
113,HDFC,2910348.0,2621.0,No,Yes,No,,,,,Yes,,,,
114,HDFCBANK,5469233.0,1599.0,No,Yes,No,,,,,Yes,,,,
115,HDFCLIFE,5704301.0,609.0,No,No,No,,Yes,189,Yes,,63,,,
116,HEMIPROP,653967.0,108.0,No,No,No,Yes,,,,,,,,
117,HFCL,5700048.0,74.0,No,No,No,Yes,,,,,,,,
118,HIKAL,572427.0,408.0,No,No,Yes,Yes,,,,Yes,,,,
119,HIMATSEIDE,301813.0,80.0,No,No,No,Yes,,,,,,Yes,,
120,HINDALCO,7084374.0,465.0,No,No,No,Yes,,,,Yes,,,,
121,HINDCOPPER,2871751.0,115.0,No,No,No,Yes,,,,Yes,,,,
122,HINDPETRO,5628889.0,245.0,No,No,No,,Yes,,Yes,,63,,,Yes
123,HINDUNILVR,2008280.0,2583.0,No,No,Yes,Yes,,,,Yes,,,,
124,HINDZINC,1187196.0,337.0,No,No,No,,Yes,2510,Yes,,63,,,
125,HSCL,1171437.0,97.0,No,No,No,Yes,,,,Yes,,,,
126,HUDCO,6479223.0,52.0,No,No,No,Yes,,,,,,,,
127,IBREALEST,8231305.0,77.0,No,No,No,Yes,,,,Yes,,,,
128,IBULHSGFIN,14118642.0,144.0,No,No,No,Yes,,,,,,,,
129,ICICIBANK,16541072.0,879.0,No,No,No,,,,,Yes,,Yes,,
130,ICICIGI,671470.0,1277.0,No,No,Yes,,Yes,,Yes,,,,,
131,ICICIPRULI,1070670.0,471.0,No,No,No,,Yes,,,Yes,,,,
132,IDBI,11117279.0,54.0,No,No,No,Yes,,,,,,,,
133,IDEA,97523766.0,7.0,No,No,No,Yes,,,,,,,,
134,IDFC,8172077.0,84.0,No,No,No,Yes,,,,Yes,,,,
135,IDFCFIRSTB,25808706.0,60.0,No,No,No,Yes,,,,Yes,,,,
136,IEX,2393342.0,140.0,No,No,No,Yes,,,,,,,,
137,IFCI,10292355.0,14.0,No,No,No,Yes,,,,,,,,
138,IGL,993761.0,421.0,No,No,No,Yes,,,,,,,,
139,INDHOTEL,2129433.0,314.0,No,No,No,Yes,,,,,,,,
140,INDIACEM,1898220.0,220.0,No,No,No,Yes,,,,,,,,
