,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone,SellingClimax,PickVolumeBreakout
207,MIDHANI,375426,222,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 251
208,MMTC,1585397,38,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 41
209,MOIL,408118,170,No,No,No,,,,,,,Yes,63,,,,,
210,MOL,467548,111,No,No,No,,,,,,,Yes,,,,,,
211,MOREPENLAB,7025182,35,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 42
212,MOTHERSON,7237906,76,No,No,No,,,,,,,Yes,,,,,,
213,MRPL,1920520,57,No,No,No,,,,,,,,,,,,,
214,MSUMI,5929775,57,,No,No,,,,,,,Yes,,Yes,,,,
215,MUTHOOTFIN,302072,1087,No,Yes,No,,,,,,,Yes,,,,,,
216,NATIONALUM,12995078,83,No,No,No,,,,,,,Yes,,,,,,
217,NAVA,1261569,256,No,No,Yes,,,,,,,Yes,,,,,,
218,NBCC,6950062,41,No,No,No,,,,,,,Yes,63,,,,,
219,NCC,8298667,90,No,No,No,,,,,,,Yes,,,,,,
220,NETWORK18,1051165,66,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 73
221,NFL,7669297,72,No,No,No,,,,,,,Yes,,,,,,
222,NHPC,3761723,39,No,No,No,,,,,,,,,,,,,
223,NIACL,4482624,131,No,No,Yes,,,,,,,Yes,63,,,,,
224,NLCINDIA,1713800,86,No,No,No,,,,,,,,,,,,,
225,NTPC,9624595,167,No,No,No,,,,,,,,,,,,,
226,NYKAA,3641115,153,No,No,No,,,,,,,,,,,,,
227,OIL,682769,211,No,No,No,,,,,,,Yes,,,,,,
228,ONGC,14990122,149,No,No,No,,,,,,Yes,,,,,,,
295,THYROCARE,136415,614,No,No,No,,,,,,,,,,Yes,,,
230,PAISALO,856992,78,No,No,No,,,,,,,,,,,,,
