,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
246,RAYMOND,363956.0,1495.0,,,,,,False
247,RBLBANK,17645663.0,186.0,,,,,,
248,RCF,6175073.0,130.0,,,,,,
249,RECLTD,27506440.0,123.0,,,,,,
250,REDINGTON,4254906.0,190.0,,,,,,
251,RELIANCE,3532428.0,2557.0,,,,,,
252,RELIGARE,1725260.0,179.0,,,,,,
253,RELINFRA,788196.0,138.0,,,,,,
254,RENUKA,7947146.0,58.0,,,,,,
255,RHIM,281809.0,864.0,,,,,,False
256,RITES,445521.0,337.0,,,,,,
257,RKFORGE,177607.0,261.0,,,,,,
258,RPOWER,11826529.0,14.0,,,,,,
259,RTNINDIA,952038.0,43.0,,,,,,
260,RTNPOWER,2741151.0,4.0,,,,,,
261,RVNL,21671703.0,71.0,,,,,,
262,SAIL,37845189.0,88.0,,,,,,
263,SBICARD,1083481.0,792.0,,,,,,
264,SBILIFE,1871260.0,1268.0,,,,,,
265,SBIN,6816158.0,612.0,,,,,,
266,SEQUENT,428640.0,87.0,,,,,,
267,SHARDACROP,197293.0,504.0,,,,,,
268,SHILPAMED,326313.0,286.0,,,,,,
269,SHRIRAMFIN,436989.0,1370.0,,,,,,
270,SJVN,3573755.0,35.0,,,,,,
271,SONACOMS,556643.0,415.0,,,,,,
272,SOUTHBANK,133169991.0,20.0,,,,,,
273,SPICEJET,1855914.0,38.0,,,,,,
274,SRF,741035.0,2302.0,,,,,,
275,STAR,483668.0,366.0,,,,,,
276,STEELXIND,3400927.0,14.0,,,,,,
277,STLTECH,559899.0,175.0,,,,,,
278,SUBEXLTD,5063279.0,33.0,,,,,,
279,SUNPHARMA,1809691.0,1009.0,,,,,,
280,SUNTV,1094764.0,486.0,,,,,,
281,SURYODAY,520870.0,121.0,,,,,,
282,SUVENPHAR,1420089.0,493.0,,,,,,
283,SUZLON,125972890.0,10.0,,,,,,
284,SWANENERGY,4251670.0,329.0,,,,,,
285,TATACHEM,497882.0,941.0,,,,,,
286,TATACOMM,1068886.0,1336.0,,,,,,
287,TATACONSUM,785340.0,767.0,,,,,,
288,TATAMOTORS,9424652.0,393.0,,,,,,
289,TATAMTRDVR,866497.0,212.0,,,,,,
290,TATAPOWER,7232192.0,211.0,,,,,,
291,TATASTEEL,74375885.0,118.0,,,,,,
292,TCS,1244685.0,3311.0,,,,,,
293,TECHM,1439523.0,1023.0,,,,,,
294,THOMASCOOK,486612.0,74.0,,,,,,
295,THYROCARE,136415.0,614.0,,,,,,
296,TIMETECHNO,2279992.0,95.0,,,,,,
297,TITAN,852171.0,2613.0,,,,,,
298,TRENT,233728.0,1347.0,,,,,,
299,TRIDENT,3503443.0,34.0,,,,,,
300,TRITURBINE,1218086.0,244.0,,,,,,
301,TRIVENI,338991.0,283.0,,,,,,
302,TTML,1173787.0,91.0,,,,,,
303,TV18BRDCST,3340255.0,37.0,,,,,,
304,TVSMOTOR,2199185.0,1041.0,,,,,,
305,UCOBANK,70786050.0,32.0,,,,,,
306,UJJIVANSFB,11656713.0,30.0,,,,,,
307,UNIONBANK,20938395.0,82.0,,,,,,
308,UPL,1276849.0,719.0,,,,,,
309,USHAMART,3319139.0,190.0,,,,,,
310,UTIAMC,409959.0,846.0,,,,,,
311,VAKRANGEE,1858049.0,28.0,,,,,,
312,VBL,782019.0,1306.0,,,,,,False
313,VEDL,10676367.0,319.0,,,,,,
314,VIJAYA,283127.0,414.0,,,,,,
315,VOLTAS,542997.0,808.0,,,,,,
316,WELCORP,425148.0,233.0,,,,,,
317,WELENT,1268435.0,169.0,,,,,,
318,WELSPUNIND,412078.0,76.0,,,,,,
319,WIPRO,2996435.0,397.0,,,,,,
320,WOCKPHARMA,2079993.0,229.0,,,,,,
321,YESBANK,339684334.0,22.0,,,,,,
322,ZEEL,5315656.0,240.0,,,,,,
323,ZENSARTECH,533067.0,215.0,,,,,,
324,ZOMATO,49691262.0,58.0,,,,,,
