,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
174,JPPOWER,37452508.0,7.0,No,No,No,Yes,,,,,,,,
175,JSL,2168528.0,248.0,No,Yes,Yes,Yes,,,,Yes,,,,
176,JSWENERGY,365468.0,289.0,No,No,No,Yes,,,,Yes,,,,
177,JSWISPL,690505.0,32.0,No,No,No,Yes,,,,Yes,,,,
178,JSWSTEEL,1635609.0,767.0,No,Yes,Yes,Yes,,,,Yes,,,,
179,JUBLFOOD,1233620.0,507.0,No,No,No,Yes,,,,,,,,
180,JYOTHYLAB,131924.0,204.0,No,No,No,,,,,,,,,
181,KALYANKJIL,2285043.0,124.0,No,No,Yes,Yes,,,,Yes,,,,
182,KARURVYSYA,7275003.0,112.0,No,No,No,Yes,,,Yes,,,,,
183,KOTAKBANK,1663289.0,1832.0,No,No,No,,,,,,,,,
184,KPITTECH,523379.0,691.0,No,Yes,No,Yes,,,,,,,,
185,KTKBANK,3781803.0,158.0,No,Yes,No,Yes,,,Yes,,,,,Yes
186,L&TFH,8118831.0,90.0,No,No,No,Yes,,,,Yes,,,,Yes
187,LAURUSLABS,1430946.0,377.0,No,No,No,Yes,,,,,,,,
188,LEMONTREE,1374129.0,83.0,No,No,No,Yes,,,,Yes,,,,
189,LICHSGFIN,1101931.0,421.0,No,No,Yes,Yes,,,,Yes,,,,
190,LICI,4839377.0,734.0,,No,Yes,Yes,,,Yes,,,,,Yes
191,LT,1259698.0,2088.0,No,Yes,Yes,Yes,,,,,,Yes,,
192,LUPIN,631501.0,737.0,No,Yes,No,Yes,,,,,,,,
193,LXCHEM,321061.0,299.0,No,No,No,Yes,,,,,,,,Yes
194,M&M,1510545.0,1249.0,Yes,No,No,Yes,,,,,,,,
195,M&MFIN,11104923.0,234.0,No,No,No,Yes,,,Yes,,,Yes,,
196,MAHABANK,54872789.0,32.0,No,No,No,Yes,,,,Yes,,,,
197,MAHINDCIE,526304.0,337.0,No,No,Yes,Yes,,,,Yes,,,,
198,MANAPPURAM,12926609.0,122.0,No,No,No,,Yes,,Yes,,63,,,Yes
199,MARICO,490250.0,510.0,No,No,Yes,,,,,,,,,
200,MARKSANS,960820.0,59.0,No,No,No,Yes,,,,,,,,Yes
201,MARUTI,493182.0,8382.0,Yes,No,No,Yes,,,,Yes,,,,
202,MAXHEALTH,396310.0,446.0,No,No,No,Yes,,,,Yes,,,,
203,MAZDOCK,9015403.0,834.0,No,Yes,No,Yes,,,Yes,,63,,,
204,MCDOWELL-N,750409.0,865.0,No,Yes,No,Yes,,,,,,Yes,,
205,METROPOLIS,445207.0,1366.0,No,No,No,Yes,,,,Yes,,,,
206,MFSL,1518009.0,709.0,No,No,Yes,Yes,,,Yes,,,,,Yes
207,MIDHANI,375426.0,222.0,No,No,No,Yes,,,,Yes,,,,
208,MMTC,1585397.0,38.0,No,No,No,Yes,,,,,,,,
209,MOIL,408118.0,170.0,No,No,No,Yes,,,,Yes,63,,,Yes
210,MOL,467548.0,111.0,No,No,No,Yes,,,,Yes,,,,
211,MOREPENLAB,7025182.0,35.0,No,No,No,Yes,,,,,,,,
212,MOTHERSON,7237906.0,76.0,No,No,No,,Yes,21,,Yes,,,,Yes
213,MRPL,1920520.0,57.0,No,No,No,Yes,,,,,,,,
214,MSUMI,5929775.0,57.0,,No,No,Yes,,,,Yes,,Yes,,
215,MUTHOOTFIN,302072.0,1087.0,No,Yes,No,Yes,,,,Yes,,,,
216,NATIONALUM,12995078.0,83.0,No,No,No,Yes,,,,Yes,,,,
217,NAVA,1261569.0,256.0,No,No,Yes,Yes,,,,Yes,,,,
218,NBCC,6950062.0,41.0,No,No,No,Yes,,,,Yes,63,,,Yes
219,NCC,8298667.0,90.0,No,No,No,Yes,,,,Yes,,,,
220,NETWORK18,1051165.0,66.0,No,No,No,Yes,,,,,,,,
221,NFL,7669297.0,72.0,No,No,No,Yes,,,,Yes,,,,
222,NHPC,3761723.0,39.0,No,No,No,Yes,,,,,,,,
223,NIACL,4482624.0,131.0,No,No,Yes,Yes,,,,Yes,63,,,Yes
224,NLCINDIA,1713800.0,86.0,No,No,No,Yes,,,,,,,,
225,NTPC,9624595.0,167.0,No,No,No,Yes,,,,,,,,
226,NYKAA,3641115.0,153.0,No,No,No,Yes,,,,,,,,
227,OIL,682769.0,211.0,No,No,No,Yes,,,,Yes,,,,
228,ONGC,14990122.0,149.0,No,No,No,Yes,,,Yes,,,,,
229,ORIENTCEM,991630.0,131.0,No,No,No,Yes,,,Yes,,,,,
230,PAISALO,856992.0,78.0,No,No,No,Yes,,,,,,,,
231,PARADEEP,1553132.0,59.0,,No,No,Yes,,,,Yes,,,,
232,PAYTM,1210847.0,535.0,No,No,No,Yes,,,,Yes,,,,Yes
233,PCBL,437658.0,131.0,No,No,No,Yes,,,,,,,,
234,PETRONET,1173254.0,216.0,No,No,No,,,,,Yes,,,,
235,PFC,30687824.0,156.0,No,No,No,,Yes,2510,Yes,,63,,,
236,PNB,78519939.0,57.0,No,No,No,Yes,,,,Yes,63,,,Yes
237,PNBHOUSING,3761580.0,573.0,No,Yes,Yes,Yes,,,Yes,,,,,
238,PNCINFRA,1833851.0,307.0,No,No,No,Yes,,,Yes,,,,,
239,POLICYBZR,973467.0,453.0,No,No,Yes,Yes,,,,,,,,Yes
240,POONAWALLA,2430680.0,303.0,No,No,No,Yes,,,,Yes,,,,
241,POWERGRID,2154188.0,215.0,No,No,No,,,,,,,,,Yes
242,PRAJIND,784980.0,366.0,No,No,No,Yes,,,,Yes,,,,Yes
243,PVR,118650.0,1714.0,Yes,No,No,Yes,,,,,,,,
244,RAILTEL,1442013.0,128.0,No,No,No,Yes,,,,Yes,,,,Yes
245,RAIN,1967486.0,179.0,No,No,No,Yes,,,Yes,,,,,
246,RAYMOND,363956.0,1495.0,Yes,Yes,Yes,Yes,,,,Yes,,,,
247,RBLBANK,17645663.0,186.0,No,No,No,,Yes,252,Yes,,63,,,
248,RCF,6175073.0,130.0,No,No,No,Yes,,,,Yes,,,,
249,RECLTD,27506440.0,123.0,No,No,No,,Yes,2510,Yes,,63,,,
250,REDINGTON,4254906.0,190.0,No,No,No,,Yes,,Yes,,,,,Yes
251,RELIANCE,3532428.0,2557.0,No,Yes,No,,,,,,,,,
252,RELIGARE,1725260.0,179.0,No,No,No,,Yes,,Yes,,,,,
253,RELINFRA,788196.0,138.0,No,No,No,Yes,,,,,,,,
254,RENUKA,7947146.0,58.0,No,No,No,Yes,,,,Yes,,,,
255,RHIM,281809.0,864.0,Yes,Yes,Yes,Yes,,,,Yes,,,,
256,RITES,445521.0,337.0,No,Yes,No,Yes,,,,,,,,
257,RKFORGE,177607.0,261.0,No,No,Yes,Yes,,,,Yes,,,,
258,RPOWER,11826529.0,14.0,No,No,No,Yes,,,,,,,,
259,RTNINDIA,952038.0,43.0,No,No,No,Yes,,,,,,,,Yes
260,RTNPOWER,2741151.0,4.0,No,No,No,Yes,,,,,,,,
261,RVNL,21671703.0,71.0,No,No,No,Yes,,,Yes,,63,,,Yes
262,SAIL,37845189.0,88.0,No,No,No,Yes,,,Yes,,,,,
263,SBICARD,1083481.0,792.0,No,No,No,,,,,,,Yes,,
264,SBILIFE,1871260.0,1268.0,No,No,No,,,,Yes,,63,,,Yes
265,SBIN,6816158.0,612.0,No,Yes,No,Yes,,,,Yes,63,,,
266,SEQUENT,428640.0,87.0,No,No,No,Yes,,,,,,,,
267,SHARDACROP,197293.0,504.0,Yes,No,Yes,Yes,,,,Yes,,,,
268,SHILPAMED,326313.0,286.0,No,No,No,Yes,,,,Yes,,,,
269,SHRIRAMFIN,436989.0,1370.0,No,No,Yes,Yes,,,,Yes,,,,Yes
270,SJVN,3573755.0,35.0,No,No,No,Yes,,,,,,,,
271,SONACOMS,556643.0,415.0,No,No,No,Yes,,,,,,,,
272,SOUTHBANK,133169991.0,20.0,No,No,No,Yes,,,Yes,,,,,Yes
273,SPICEJET,1855914.0,38.0,No,No,No,Yes,,,,,,,,
274,SRF,741035.0,2302.0,Yes,No,No,Yes,,,,Yes,,,,Yes
275,STAR,483668.0,366.0,No,No,Yes,Yes,,,,Yes,,,,
276,STEELXIND,3400927.0,14.0,No,No,No,Yes,,,,,,,,
