,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
259,GREENPANEL,385.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
260,GREENPLY,160.0,,,,,DownTrend,,,,,,,,
261,GRINDWELL,1927.0,,,,,DownTrend,Yes,,,,,Yes,,
262,GRINFRA,1226.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
263,GRSE,515.0,,,,,DownTrend,Yes,,,,,Yes,,
264,GRWRHITECH,713.0,,,,,DownTrend,Yes,,,,,Yes,,
265,GSFC,133.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
266,GSPL,261.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
267,GTLINFRA,1.0,,,,,DownTrend,,Yes,,,,,,
268,GUFICBIO,215.0,,"Bullish TrustingLine pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 211.4",,,DownTrend,,Yes,,,,Yes,,
269,GUJALKALI,800.0,,,,,DownTrend,,,,Yes,Yes,,,
270,GUJGASLTD,508.0,,,,,DownTrend,,,,,,Yes,,
271,GULFOILLUB,463.0,,,,,DownTrend,,Yes,21,,Yes,,,
272,HAL,2783.0,,,,,DownTrend,,Yes,2510,,,Yes,,
273,HAPPSTMNDS,980.0,,,,,DownTrend,,,,,,Yes,,
274,HATHWAY,17.0,,,,,UpTrend,,Yes,,,Yes,,,
275,HATSUN,963.0,,,,,DownTrend,,Yes,,,,Yes,,
276,HAVELLS,1234.0,,,,,DownTrend,,,,,,Yes,,
277,HBLPOWER,110.0,,,,,DownTrend,Yes,,,,,Yes,,
278,HCC,19.0,,,,,DownTrend,,Yes,1008,,Yes,,,
279,HCG,305.0,,,,Yes,DownTrend,Yes,,,Yes,,,,
280,HCLTECH,1130.0,,,,,DownTrend,,,,,,Yes,,
281,HDFC,2675.0,,,,,DownTrend,,,,,Yes,,,
282,HDFCAMC,2186.0,,,,,DownTrend,Yes,,,,,Yes,,
283,HDFCBANK,1612.0,,,,,DownTrend,,,,,,Yes,,
284,HDFCLIFE,588.0,,,,,DownTrend,Yes,,,,,Yes,,
285,HEG,1079.0,,,,,DownTrend,,Yes,21,,Yes,,,
286,HEIDELBERG,204.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
287,HEMIPROP,113.0,,,,Yes,DownTrend,,Yes,63,,Yes,,,Yes wait for breakout of resistance => 113.25
288,HERANBA,537.0,,,,,DownTrend,,Yes,,,Yes,,,
289,HERITGFOOD,341.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
290,HEROMOTOCO,2827.0,,,,,DownTrend,Yes,,,,,Yes,,
291,HFCL,83.0,,,,,DownTrend,,Yes,189,,Yes,,,
292,HGINFRA,586.0,,,,,DownTrend,Yes,,,,,Yes,,
293,HGS,1418.0,,,,,DownTrend,,Yes,63,,Yes,,,
294,HIKAL,348.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
295,HIL,2763.0,,,,,DownTrend,Yes,,,,Yes,,,
296,HIMATSEIDE,95.0,,,,,DownTrend,Yes,,,,Yes,,,
297,HINDALCO,481.0,,,,Yes,UpTrend,,Yes,,,Yes,,,
298,HINDCOPPER,121.0,,,,Yes,DownTrend,,Yes,,,Yes,,,
299,HINDOILEXP,143.0,,,,,DownTrend,,,,,,Yes,,
300,HINDPETRO,230.0,,,,,DownTrend,Yes,,,,,Yes,,
301,HINDUNILVR,2619.0,,,,,DownTrend,Yes,,,,Yes,,,
302,HINDWAREAP,392.0,,,,Yes,DownTrend,,Yes,21,Yes,Yes,,,Yes wait for breakout of resistance => 392.29998779296875
303,HINDZINC,314.0,,,,,DownTrend,,Yes,,,Yes,,,
304,HLEGLAS,692.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
305,HNDFDS,715.0,,,,,DownTrend,Yes,,,,,Yes,,
306,HOMEFIRST,747.0,,,,,DownTrend,Yes,,,,,Yes,,
307,HONAUT,42328.0,,,,,DownTrend,Yes,,,,,Yes,,
308,HSCL,104.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
309,HUDCO,52.0,,,,,DownTrend,Yes,,,,,Yes,,
310,IBREALEST,87.0,,,,Yes,DownTrend,,Yes,21,,Yes,,,
311,IBULHSGFIN,146.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
312,ICICIBANK,933.0,,,,,DownTrend,,,,,,Yes,,
313,ICICIGI,1223.0,,,,,UpTrend,Yes,,,,,Yes,,
314,ICICIPRULI,475.0,,,,,DownTrend,Yes,,,,,Yes,,
315,ICIL,140.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
316,ICRA,4418.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
317,IDBI,54.0,,,,,DownTrend,Yes,,,,,Yes,,
318,IDEA,8.0,,,,,DownTrend,,,,,,,,
319,IDFC,85.0,,,,,DownTrend,,Yes,2510,,Yes,,,
320,IDFCFIRSTB,60.0,,,,,DownTrend,,Yes,252,,Yes,,,
321,IEX,151.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
322,IFBIND,927.0,,,,,DownTrend,Yes,,,,,,,
323,IFCI,14.0,,,,,DownTrend,,Yes,189,,Yes,,,
324,IGL,435.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
325,IGPL,543.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
326,IIFL,473.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
327,IIFLSEC,69.0,,,,,DownTrend,,,,Yes,Yes,,,
328,IIFLWAM,1798.0,,,,,DownTrend,Yes,,,,Yes,,,
329,IMFA,269.0,,,,Yes,UpTrend,,Yes,63,,Yes,,,
330,INDHOTEL,324.0,,,,Yes,DownTrend,,,,,,Yes,,
331,INDIACEM,248.0,,,,,DownTrend,Yes,,,,,Yes,,
332,INDIAGLYCO,772.0,,,,,DownTrend,Yes,,,,,,,
333,INDIAMART,4479.0,,,,,UpTrend,Yes,,,Yes,,Yes,,
334,INDIANB,284.0,,,,,DownTrend,,Yes,1008,,,Yes,,
335,INDIGO,1919.0,,,,,DownTrend,Yes,,,,,Yes,,
336,INDIGOPNTS,1335.0,,,,,DownTrend,,,,,,Yes,,
337,INDOCO,393.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
338,INDORAMA,56.0,,,,,UpTrend,,Yes,,Yes,Yes,,,
339,INDOSTAR,154.0,,,,,DownTrend,Yes,,,,Yes,,,
340,INDUSINDBK,1195.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
341,INDUSTOWER,201.0,,,,,DownTrend,Yes,,,,,Yes,,
342,INEOSSTYRO,838.0,,,,,UpTrend,,Yes,,Yes,Yes,,,
343,INFIBEAM,17.0,,,,Yes,DownTrend,,Yes,,Yes,Yes,,,
344,INFY,1639.0,,,,,DownTrend,Yes,,,,,Yes,,
345,INGERRAND,2128.0,,,,,DownTrend,Yes,,,,,,,
346,INOXLEISUR,562.0,,,,,DownTrend,,Yes,,,,Yes,,
347,INOXWIND,124.0,,,,,DownTrend,Yes,,,,,Yes,,
348,INTELLECT,464.0,,,,,DownTrend,Yes,,,,Yes,,,
349,IOB,22.0,,,,,DownTrend,Yes,,,,,,,
350,IOC,77.0,,,,Yes,DownTrend,,Yes,126,,,Yes,,
351,IOLCP,343.0,,,,,DownTrend,Yes,,,,,Yes,,
352,IONEXCHANG,2906.0,,,,,DownTrend,,Yes,2510,,Yes,,,
353,IPCALAB,863.0,,,,,DownTrend,,,,,,,,
354,IPL,264.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
355,IRB,276.0,,,,,DownTrend,Yes,,,,,Yes,,
356,IRCON,62.0,,,,,DownTrend,Yes,,,,,Yes,,
357,IRCTC,729.0,,,,,DownTrend,,,,,,Yes,,
358,IRFC,33.0,,,,,DownTrend,Yes,,,,,Yes,,
359,ISEC,530.0,,,,,DownTrend,Yes,,,,,,,
360,ISGEC,527.0,,,,,DownTrend,,Yes,,,Yes,,,
361,ITC,336.0,,,,,DownTrend,,,,,,,,
362,ITI,114.0,,,,,DownTrend,Yes,,,,Yes,,,
363,J&KBANK,51.0,,,,,DownTrend,,Yes,756,,Yes,,,
364,JAICORPLTD,175.0,,,,Yes,DownTrend,,Yes,,,Yes,,,
365,JAMNAAUTO,112.0,,,,,DownTrend,Yes,,,,,Yes,,
366,JBCHEPHARM,2019.0,,,,,DownTrend,Yes,,,,,,,
367,JBMA,427.0,,,,,DownTrend,Yes,,,,,Yes,,
368,JCHAC,1184.0,,,,,DownTrend,Yes,,,,,Yes,,
369,JINDALPOLY,882.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
370,JINDALSAW,94.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
371,JINDALSTEL,569.0,,,,,UpTrend,,Yes,,,,Yes,,
372,JINDWORLD,353.0,,,,,DownTrend,Yes,,,,,Yes,,
373,JISLJALEQS,33.0,,,,,DownTrend,Yes,,,,,,,
374,JKCEMENT,3190.0,,,,,UpTrend,Yes,,,,,Yes,,
375,JKIL,273.0,,,,,DownTrend,,,,,,Yes,,
376,JKLAKSHMI,825.0,,,,,UpTrend,,Yes,2510,,Yes,,,Yes wait for breakout of resistance => 825.3499755859375
377,JKPAPER,408.0,,,,Yes,DownTrend,,,,,,,,
378,JKTYRE,204.0,,,,,DownTrend,,Yes,2510,,,Yes,,
379,JMFINANCIL,80.0,,,,,DownTrend,,Yes,252,,Yes,,,
380,JPASSOCIAT,10.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
381,JPPOWER,8.0,,,,Yes,DownTrend,,Yes,21,Yes,Yes,,,
382,JSL,179.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
383,JSWENERGY,309.0,,,,,DownTrend,Yes,,,,,Yes,,
384,JSWISPL,32.0,,,,,UpTrend,,Yes,,,Yes,,,
385,JSWSTEEL,756.0,,,,,UpTrend,,Yes,,,Yes,,,
386,JUBLFOOD,553.0,,,,,DownTrend,,,,Yes,,Yes,,
387,JUBLINGREA,534.0,,,,,DownTrend,Yes,,,,,,,
388,JUBLPHARMA,375.0,,,,,DownTrend,,,,,,Yes,,
389,JUSTDIAL,593.0,,,,,DownTrend,,,,,,,,
390,JYOTHYLAB,211.0,,,,Yes,DownTrend,,Yes,2510,,Yes,,,
391,KAJARIACER,1184.0,,,,,DownTrend,Yes,,,,Yes,,,
392,KALPATPOWR,516.0,,,,,DownTrend,Yes,,,,,Yes,,
393,KALYANKJIL,115.0,,,,Yes,DownTrend,,Yes,2510,,Yes,,,
394,KANSAINER,447.0,,,,,DownTrend,,,,,,Yes,,
395,KARURVYSYA,99.0,,,,,DownTrend,Yes,,,,,Yes,,
396,KCP,122.0,,,,Yes,DownTrend,,,,,,,,
397,KEC,419.0,,,,,DownTrend,Yes,,,,,,,
398,KEI,1610.0,,,,,DownTrend,Yes,,,,Yes,,,
399,KENNAMET,2671.0,,,,,DownTrend,Yes,,,,,,,
400,KIMS,1504.0,,,,,DownTrend,Yes,,,Yes,,,,
401,KIRIINDUS,480.0,,,,,DownTrend,Yes,,,,,,,
402,KIRLFER,321.0,,,,,DownTrend,Yes,,,,,Yes,,
403,KIRLOSENG,341.0,,,,,DownTrend,Yes,,,,,Yes,,
404,KNRCON,261.0,,,,Yes,DownTrend,Yes,,,Yes,,Yes,,
405,KOLTEPATIL,313.0,,,,,DownTrend,,,,,,Yes,,
406,KOTAKBANK,1938.0,,,,,DownTrend,,,,,,,,
407,KPITTECH,718.0,,,,,DownTrend,Yes,,,,,Yes,,
408,KPRMILL,543.0,,,,,DownTrend,Yes,,,,,Yes,,
409,KRBL,423.0,,,,,DownTrend,Yes,,,,,Yes,,
410,KRSNAA,484.0,,,,,DownTrend,,,,,Yes,,,
411,KSB,1937.0,,,,,DownTrend,Yes,,,,Yes,,,
412,KSCL,523.0,,,,,DownTrend,,Yes,63,,,Yes,,
413,KTKBANK,156.0,,,,,DownTrend,,Yes,2510,,Yes,,,
414,L&TFH,93.0,,,,Yes,DownTrend,,Yes,252,,Yes,,,
415,LALPATHLAB,2493.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
416,LAOPALA,412.0,,,,,DownTrend,Yes,,,,,Yes,,
417,LATENTVIEW,370.0,,,,,DownTrend,,,,,,,,
418,LAURUSLABS,420.0,,,,,DownTrend,Yes,,,,,,,
419,LAXMIMACH,13376.0,,,,,DownTrend,,,,Yes,Yes,,,
420,LEMONTREE,98.0,,,,,DownTrend,Yes,,,,,Yes,,
421,LGBBROSLTD,706.0,,,,,DownTrend,,,,,,Yes,,
422,LICHSGFIN,403.0,,,,,DownTrend,,Yes,,,Yes,,,
423,LICI,652.0,,,,,DownTrend,,,,Yes,,Yes,,
424,LINDEINDIA,3100.0,,,,,DownTrend,,,,,,Yes,,
425,LODHA,1087.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
426,LT,2085.0,,,,,DownTrend,,,,,Yes,,,
427,LTIM,,,,,,,,,,,,,,
428,LTTS,4248.0,,,,,DownTrend,Yes,,,,,Yes,,
429,LUPIN,770.0,,,,,UpTrend,Yes,,,,,Yes,,
430,LUXIND,1722.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
431,LXCHEM,318.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
432,M&M,1259.0,,,,,DownTrend,Yes,,,,,,,
433,M&MFIN,241.0,,,,Yes,DownTrend,,Yes,504,,Yes,,,
434,MAHABANK,27.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
435,MAHINDCIE,289.0,,,,,DownTrend,,,,,,,,
436,MAHLIFE,385.0,,,,,UpTrend,Yes,,,,,Yes,,
437,MAHLOG,499.0,,,,,DownTrend,Yes,,,,,,,
438,MAHSCOOTER,4784.0,,,,,DownTrend,Yes,,,,,Yes,,
439,MAHSEAMLES,390.0,,,,,DownTrend,Yes,,,Yes,,,,
440,MAITHANALL,952.0,,,,,UpTrend,,,,,,Yes,,
441,MANALIPETC,83.0,,,,,UpTrend,Yes,,,,,Yes,,
442,MANAPPURAM,123.0,,,,,DownTrend,,Yes,189,,Yes,,,
443,MANINFRA,79.0,,,,,DownTrend,Yes,,,,Yes,,,
444,MANYAVAR,1364.0,,,,,DownTrend,Yes,,,,Yes,,,
445,MAPMYINDIA,1203.0,,,,,DownTrend,Yes,,,,,Yes,,
446,MARICO,500.0,,,,,DownTrend,,,,,,Yes,,
447,MARKSANS,61.0,,,,,DownTrend,,Yes,189,,Yes,,,
448,MARUTI,8792.0,,,,,DownTrend,,,,,,,,
449,MASFIN,827.0,,,,,DownTrend,Yes,,,,,Yes,,
450,MASTEK,1768.0,,,,,UpTrend,Yes,,,,,Yes,,
451,MATRIMONY,618.0,,,,,DownTrend,,,,,,Yes,,
452,MAXHEALTH,437.0,,,,,DownTrend,Yes,,,,,Yes,,
453,MAYURUNIQ,445.0,,,,,DownTrend,Yes,,,,,Yes,,
454,MAZDOCK,911.0,,,,,DownTrend,Yes,,,,,Yes,,
455,MCDOWELL-N,929.0,,,,,DownTrend,Yes,,,,,Yes,,
456,MCX,1569.0,,,,,DownTrend,,,,,,Yes,,
457,MEDPLUS,703.0,,,,,UpTrend,,Yes,,,Yes,,,Yes wait for breakout of resistance => 703.5
458,METROBRAND,835.0,,,,,UpTrend,,Yes,,Yes,,Yes,,
459,METROPOLIS,1451.0,,,,,UpTrend,,,,,,,,
460,MFL,1250.0,,,,,DownTrend,Yes,,,,,,,
461,MFSL,720.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
462,MGL,904.0,,,,,DownTrend,,,,,,Yes,,
463,MHRIL,288.0,,,,Yes,DownTrend,Yes,,,Yes,,Yes,,
464,MIDHANI,246.0,,,,,DownTrend,Yes,,,,,Yes,,
465,MINDACORP,221.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
466,MMFL,894.0,,,,,DownTrend,Yes,,,,Yes,,,
467,MMTC,41.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
468,MOIL,166.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
469,MOL,112.0,,,,,DownTrend,Yes,,,,,Yes,,
470,MOLDTKPAC,914.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
471,MOREPENLAB,31.0,,,,,DownTrend,,Yes,,,Yes,,,
472,MOTHERSON,75.0,,,,,DownTrend,,Yes,,,Yes,,,
473,MOTILALOFS,668.0,,,,,UpTrend,Yes,,,,,Yes,,
474,MPHASIS,2135.0,,,,,DownTrend,Yes,,,,,Yes,,
475,MRF,94673.0,,,,,UpTrend,,,,Yes,,Yes,,
476,MRPL,59.0,,,,,DownTrend,Yes,,,,,Yes,,
477,MSTCLTD,329.0,,,,,DownTrend,Yes,,,,,Yes,,
478,MSUMI,60.0,,,,Yes,DownTrend,Yes,,,Yes,,Yes,,
479,MTARTECH,1767.0,,,,,DownTrend,,Yes,126,,Yes,,,
480,MUTHOOTFIN,1142.0,,,,,DownTrend,,Yes,63,,Yes,,,
481,NAM-INDIA,267.0,,,,,DownTrend,Yes,,,,Yes,,,
482,NATCOPHARM,579.0,,,,,DownTrend,,,,,,Yes,,
483,NATIONALUM,80.0,,,,,UpTrend,,Yes,,,Yes,,,
484,NAUKRI,4056.0,,,,,UpTrend,Yes,,,Yes,,Yes,,
485,NAVA,185.0,,,,,DownTrend,,,,Yes,Yes,,,
486,NAVINFLUOR,4397.0,,,,,DownTrend,,,,,Yes,,,
487,NAVNETEDUL,130.0,,,,,DownTrend,,,,Yes,Yes,,,
488,NAZARA,615.0,,,,,DownTrend,Yes,,,,,Yes,,
489,NBCC,42.0,,,,,DownTrend,Yes,,,,,Yes,,
