,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,Keltner_Channel
301,HINDUNILVR,821537.0,2542.0,,,,,,
302,HINDWAREAP,241335.0,459.0,,,,,,
303,HINDZINC,1353520.0,331.0,,,,,,
304,HLEGLAS,13935.0,660.0,,,,,,
305,HNDFDS,9781.0,613.0,,,,,,
306,HOMEFIRST,42469.0,739.0,,,,,,
307,HONAUT,2516.0,41044.0,,,,,,False
308,HSCL,936990.0,99.0,,,,,,
309,HUDCO,7581775.0,53.0,,,,,,
310,IBREALEST,5365187.0,83.0,,,,,,
311,IBULHSGFIN,13657223.0,150.0,,,,,,
312,ICICIBANK,5846160.0,901.0,,,,,,
313,ICICIGI,1324002.0,1267.0,,,,,,
314,ICICIPRULI,4107703.0,468.0,,,,,,
315,ICIL,1096602.0,141.0,,,,,,
316,ICRA,29070.0,4929.0,,,,,,False
317,IDBI,10000026.0,55.0,,,,,,
318,IDEA,108153946.0,7.0,,,,,,
319,IDFC,7830025.0,84.0,,,,,,
320,IDFCFIRSTB,38932324.0,61.0,,,,,,
321,IEX,3717628.0,142.0,,,,,,
322,IFBIND,39846.0,935.0,,,,,,
323,IFCI,20363250.0,14.0,,,,,,
324,IGL,1123043.0,419.0,,,,,,
325,IGPL,32989.0,525.0,,,,,,
326,IIFL,203160.0,466.0,,,,,,False
327,IIFLSEC,241607.0,66.0,,,,,,
328,IIFLWAM,37723.0,1775.0,,,,,,
329,IMFA,234768.0,279.0,,,,,,
330,INDHOTEL,1658107.0,320.0,,,,,,
331,INDIACEM,1735234.0,222.0,,,,,,
332,INDIAGLYCO,15947.0,775.0,,,,,,
333,INDIAMART,20726.0,4351.0,,,,,,
334,INDIANB,1965006.0,296.0,,,,,,
335,INDIGO,321586.0,2040.0,,,,,,
336,INDIGOPNTS,14222.0,1308.0,,,,,,
337,INDOCO,75448.0,410.0,,,,,,
338,INDORAMA,83926.0,59.0,,,,,,
339,INDOSTAR,35910.0,161.0,,,,,,
340,INDUSINDBK,2194830.0,1240.0,,,,,,
341,INDUSTOWER,878615.0,189.0,,,,,,
342,INEOSSTYRO,51670.0,799.0,,,,,,
343,INFIBEAM,8684851.0,16.0,,,,,,
344,INFY,4550173.0,1522.0,,,,,,
345,INGERRAND,9777.0,1928.0,,,,,,
346,INOXLEISUR,227093.0,497.0,,,,,,
347,INOXWIND,289843.0,108.0,,,,,,
348,INTELLECT,291810.0,447.0,,,,,,
349,IOB,83019250.0,32.0,,,,,,
350,IOC,11485237.0,78.0,,,,,,
351,IOLCP,637241.0,371.0,,,,,,
352,IONEXCHANG,14257.0,2777.0,,,,,,False
353,IPCALAB,239475.0,849.0,,,,,,
354,IPL,82962.0,249.0,,,,,,
355,IRB,8845505.0,314.0,,,,,,
356,IRCON,10154060.0,60.0,,,,,,
357,IRCTC,2364166.0,644.0,,,,,,
358,IRFC,84788891.0,33.0,,,,,,
359,ISEC,237532.0,502.0,,,,,,
360,ISGEC,60871.0,479.0,,,,,,
361,ITC,5993839.0,331.0,,,,,,
362,ITI,196896.0,105.0,,,,,,
363,J&KBANK,10545221.0,57.0,,,,,,
364,JAICORPLTD,1140281.0,151.0,,,,,,
365,JAMNAAUTO,255745.0,105.0,,,,,,
366,JBCHEPHARM,20798.0,1982.0,,,,,,
367,JBMA,236029.0,517.0,,,,,,
368,JCHAC,54882.0,1139.0,,,,,,
