,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
73,BALKRISIND,241816.0,2129.0,,,,,,No,Yes,Yes,No,DownTrend,,,,,,Yes,,,63,,,False,
74,BALMLAWRIE,234438.0,124.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
75,BALRAMCHIN,2225504.0,402.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
76,BANDHANBNK,6269947.0,240.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
77,BANKBARODA,19753217.0,187.0,,,,,,No,No,No,No,DownTrend,,,,Yes,,Yes,,,63,,,,
78,BANKINDIA,28812391.0,93.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
79,BARBEQUE,16544.0,976.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
80,BASF,7801.0,2777.0,,,,,,No,No,Yes,,DownTrend,,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
81,BATAINDIA,204733.0,1645.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
82,BAYERCROP,11565.0,4849.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
83,BBTC,30185.0,925.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
84,BCG,52086289.0,28.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
85,BDL,246575.0,944.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,Yes,,,,,,,
86,BECTORFOOD,79401.0,433.0,,,,,,No,Yes,No,Yes,UpTrend,Yes,,,Yes,,Yes,,,,,,,
87,BEL,8833451.0,100.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
88,BEML,80468.0,1522.0,,,,,,No,No,No,,DownTrend,,Yes,,Yes,,Yes,,Before wait for breakout of resistance => 1561,21,,,,
89,BEPL,9534822.0,121.0,,,,,,No,No,No,,DownTrend,,Yes,63,,Yes,,,Today wait for breakout of resistance => 121.6500015258789,63,,,,CMO greater than 25 Buy Signal 
90,BERGEPAINT,333536.0,579.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
91,BESTAGRO,27674.0,1533.0,,,,,,Yes,Yes,No,No,UpTrend,Yes,,,,,Yes,,,,,,,
92,BFUTILITIE,1137598.0,418.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,
93,BHARATFORG,473048.0,878.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,,,,,,,False,
94,BHARATRAS,745.0,9884.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,Yes,,
95,BHARTIARTL,1717487.0,817.0,,,,,,No,Yes,No,No,DownTrend,,,,Yes,,,,,,,,,
96,BHEL,14554865.0,80.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,,,,,,,,
97,BIOCON,1276513.0,263.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
98,BIRLACORPN,57511.0,988.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
99,BLS,605025.0,171.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
100,BLUEDART,25813.0,7814.0,,,,,,Yes,No,Yes,,DownTrend,Yes,,,,Yes,,,,,,,,
101,BLUESTARCO,276452.0,1204.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,False,CMO less than -25 Sell Signal 
102,BOMDYEING,757360.0,80.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
103,BOROLTD,134939.0,378.0,,,,,,No,No,No,,UpTrend,Yes,,,,Yes,,,,,,,,
104,BORORENEW,138891.0,512.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
105,BOSCHLTD,6875.0,17133.0,,,,,,No,Yes,Yes,No,DownTrend,,,,,,,,,,,,False,CMO less than -25 Sell Signal 
106,BPCL,2631494.0,336.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
107,BRIGADE,149011.0,466.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,CMO greater than 25 Buy Signal 
108,BRITANNIA,496956.0,4241.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,Yes,,False,CMO less than -25 Sell Signal 
109,BSE,419224.0,565.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
110,BSOFT,2514659.0,299.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,,,
111,BUTTERFLY,2643.0,1568.0,,,,,,Yes,No,No,,DownTrend,,,,,,Yes,,Before wait for breakout of resistance => 1588,,,,,CMO less than -25 Sell Signal 
112,CAMLINFINE,314946.0,161.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
113,CAMPUS,114100.0,411.0,,,,,,,No,No,,DownTrend,Yes,,,,,,,,,,,,
114,CAMS,39310.0,2214.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,
115,CANBK,11332429.0,336.0,,,,,,No,Yes,No,No,UpTrend,,Yes,1008,,Yes,,,,63,,,,
116,CANFINHOME,500175.0,548.0,,,,,,No,No,No,,DownTrend,,Yes,,Yes,,Yes,,,63,,,,
117,CAPLIPOINT,10757.0,724.0,,,,,,No,No,No,,DownTrend,,,,Yes,,Yes,,,,,,,
118,CARBORUNIV,41090.0,888.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
119,CARERATING,113062.0,617.0,,,,,,No,No,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,,
120,CARTRADE,58904.0,482.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,Yes,,,,,,,,
121,CARYSIL,63276.0,469.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,Yes,,,
122,CASTROLIND,304260.0,125.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
123,CCL,130266.0,541.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 561,,,,,
124,CDSL,197685.0,1153.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
125,CEATLTD,62321.0,1637.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1706,,,Yes,,CMO less than -25 Sell Signal 
126,CENTRALBK,17751637.0,32.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,,,,,,,,
127,CENTURYPLY,60425.0,516.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
128,CENTURYTEX,27602.0,726.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
129,CERA,4068.0,5271.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 5506,,,,,
130,CESC,1279369.0,77.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
131,CGCL,106521.0,756.0,,,,,,No,No,No,No,DownTrend,,,,,,Yes,,,,,Yes,,
132,CGPOWER,752762.0,274.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
133,CHALET,52548.0,351.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,
134,CHAMBLFERT,782245.0,314.0,,,,,,No,No,No,,UpTrend,Yes,,,Yes,,Yes,,,63,,,,
135,CHEMPLASTS,909812.0,463.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,Yes,,,,63,,,,
136,CHENNPETRO,640343.0,208.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
137,CHOICEIN,33166.0,257.0,,,,,,,No,No,No,UpTrend,,Yes,,Yes,Yes,,,,21,,,,
