,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone
192,EICHERMOT,323223.0,3213.0,Yes,No,No,Yes,,,
193,EIDPARRY,147697.0,575.0,No,No,No,Yes,,,
194,EIHOTEL,314279.0,179.0,No,No,No,Yes,,,
195,EKC,401557.0,100.0,No,No,No,Yes,,,
196,ELECON,268739.0,373.0,No,Yes,No,Yes,,,
197,ELECTCAST,1281589.0,39.0,No,No,No,Yes,,,
198,ELGIEQUIP,213718.0,410.0,No,No,No,Yes,,,
199,EMAMILTD,204904.0,429.0,No,No,No,Yes,,,
200,EMUDHRA,40562.0,309.0,,No,No,Yes,,,
201,ENDURANCE,8035.0,1381.0,No,No,No,Yes,,,
202,ENGINERSIN,2027041.0,80.0,No,No,No,Yes,,,Yes
203,EPL,168255.0,169.0,No,No,No,Yes,,,
204,EQUITASBNK,2476344.0,59.0,No,No,No,Yes,,,
205,ESABINDIA,5133.0,4253.0,Yes,Yes,Yes,,Yes,2510,
206,ESCORTS,305453.0,2166.0,Yes,Yes,No,Yes,,,Yes
207,ETHOSLTD,11997.0,1015.0,,No,Yes,Yes,,,
208,EVEREADY,32649.0,355.0,No,No,No,,,,
209,EXIDEIND,1729288.0,180.0,No,No,No,Yes,,,
210,FACT,1333036.0,337.0,No,Yes,Yes,Yes,,,
211,FAIRCHEMOR,15673.0,1301.0,No,No,No,Yes,,,
212,FCL,267839.0,252.0,No,No,No,Yes,,,
213,FDC,53832.0,274.0,No,No,No,Yes,,,
214,FEDERALBNK,24554724.0,137.0,No,No,No,Yes,,,
215,FILATEX,214079.0,45.0,No,No,No,Yes,,,
216,FINCABLES,366188.0,560.0,No,Yes,No,Yes,,,Yes
217,FINEORG,15166.0,5646.0,Yes,No,No,Yes,,,
218,FINOPB,47220.0,247.0,No,No,Yes,Yes,,,
219,FINPIPE,816028.0,188.0,No,No,Yes,Yes,,,Yes
220,FLUOROCHEM,38014.0,3100.0,Yes,No,No,Yes,,,
221,FORCEMOT,61049.0,1499.0,No,Yes,No,,,,Yes
222,FORTIS,280765.0,283.0,No,No,No,,,,
223,FSL,825496.0,103.0,No,No,No,Yes,,,Yes
224,GABRIEL,318032.0,190.0,No,No,No,Yes,,,Yes
225,GAEL,177568.0,253.0,No,No,No,Yes,,,
226,GAIL,6050701.0,96.0,No,No,No,Yes,,,Yes
227,GALAXYSURF,5864.0,2467.0,No,No,No,Yes,,,
228,GANESHHOUC,27164.0,364.0,No,No,No,,Yes,21,Yes
229,GARFIBRES,4722.0,3122.0,No,No,No,Yes,,,
230,GATEWAY,300931.0,69.0,,No,No,,Yes,,Yes
231,GATI,246490.0,143.0,No,No,No,Yes,,,
232,GEOJITFSL,272612.0,47.0,No,No,No,Yes,,,
233,GESHIP,182324.0,661.0,No,Yes,Yes,Yes,,,
234,GICRE,8723871.0,196.0,No,No,Yes,,Yes,252,
235,GLAND,95927.0,1575.0,No,No,No,Yes,,,
236,GLAXO,50783.0,1303.0,No,No,No,,,,
237,GLENMARK,735382.0,434.0,No,No,No,Yes,,,
238,GLOBUSSPR,53980.0,842.0,No,No,Yes,Yes,,,
239,GLS,39872.0,418.0,No,No,No,Yes,,,
240,GMDCLTD,1049264.0,151.0,No,No,No,Yes,,,
241,GMMPFAUDLR,254010.0,1601.0,No,No,No,Yes,,,Yes
242,GMRINFRA,6123079.0,40.0,No,No,No,Yes,,,Yes
243,GNFC,749246.0,567.0,Yes,No,No,Yes,,,Yes
244,GOCOLORS,13747.0,1174.0,No,No,No,Yes,,,
245,GODFRYPHLP,93270.0,1998.0,No,Yes,Yes,Yes,,,
246,GODREJAGRO,33317.0,474.0,No,No,No,Yes,,,Yes
247,GODREJCP,910243.0,892.0,No,No,Yes,,,,
248,GODREJIND,54190.0,438.0,No,No,Yes,Yes,,,Yes
249,GODREJPROP,490937.0,1243.0,No,No,No,Yes,,,Yes
250,GOKEX,79252.0,366.0,No,No,No,Yes,,,
251,GOODYEAR,37921.0,1140.0,No,No,Yes,Yes,,,
252,GPIL,1139704.0,409.0,No,No,Yes,,Yes,126,
253,GPPL,3493525.0,104.0,No,No,No,,Yes,252,
254,GRANULES,1639085.0,326.0,No,No,No,Yes,,,Yes
255,GRAPHITE,457363.0,384.0,No,No,No,Yes,,,
256,GRASIM,546467.0,1717.0,No,Yes,Yes,,,,
257,GRAVITA,131984.0,449.0,No,Yes,Yes,Yes,,,
258,GREAVESCOT,852027.0,137.0,No,No,No,Yes,,,
259,GREENPANEL,146602.0,341.0,No,No,No,Yes,,,
260,GREENPLY,53451.0,146.0,No,No,No,Yes,,,Yes
261,GRINDWELL,51122.0,1847.0,Yes,No,No,Yes,,,Yes
262,GRINFRA,11051.0,1178.0,No,No,No,Yes,,,Yes
263,GRSE,1734760.0,492.0,No,Yes,No,Yes,,,
264,GRWRHITECH,10628.0,670.0,No,No,No,Yes,,,
265,GSFC,2252791.0,139.0,No,No,No,Yes,,,
266,GSPL,286139.0,272.0,No,No,No,Yes,,,Yes
267,GTLINFRA,10357178.0,1.0,No,No,No,Yes,,,
268,GUFICBIO,86881.0,225.0,No,No,No,Yes,,,
269,GUJALKALI,102507.0,778.0,Yes,No,No,,Yes,,
270,GUJGASLTD,866133.0,490.0,No,No,No,Yes,,,Yes
271,GULFOILLUB,20160.0,432.0,No,No,No,Yes,,,
272,HAL,554863.0,2539.0,Yes,Yes,No,Yes,,,
273,HAPPSTMNDS,170916.0,887.0,No,No,No,Yes,,,Yes
274,HATHWAY,2313547.0,17.0,No,No,No,Yes,,,
275,HATSUN,39040.0,899.0,No,No,No,,,,
276,HAVELLS,998602.0,1127.0,No,No,No,Yes,,,Yes
277,HBLPOWER,1551055.0,105.0,No,No,No,Yes,,,
278,HCC,45280324.0,21.0,No,No,No,Yes,,,Yes
279,HCG,42616.0,284.0,No,No,No,Yes,,,
280,HCLTECH,2484318.0,1041.0,No,Yes,No,,,,Yes
281,HDFC,2262442.0,2664.0,No,Yes,No,,,,Yes
282,HDFCAMC,169501.0,2189.0,No,Yes,Yes,Yes,,,
283,HDFCBANK,4187907.0,1639.0,No,Yes,Yes,,,,Yes
284,HDFCLIFE,10092755.0,595.0,No,No,No,,Yes,21,Yes
285,HEG,306628.0,1077.0,No,No,No,Yes,,,
286,HEIDELBERG,102163.0,189.0,No,No,No,Yes,,,Yes
287,HEMIPROP,1672077.0,112.0,No,No,No,Yes,,,Yes
288,HERANBA,23167.0,500.0,No,No,No,Yes,,,Yes
289,HERITGFOOD,179589.0,371.0,No,No,Yes,,Yes,,
290,HEROMOTOCO,136699.0,2720.0,No,No,No,Yes,,,
291,HFCL,9278764.0,76.0,No,No,No,Yes,,,Yes
292,HGINFRA,325830.0,639.0,No,No,No,Yes,,,
293,HGS,14436.0,1336.0,No,No,Yes,Yes,,,Yes
294,HIKAL,3993225.0,416.0,No,No,Yes,,Yes,,
295,HIL,8684.0,2716.0,No,No,Yes,Yes,,,Yes
296,HIMATSEIDE,863440.0,83.0,No,No,No,Yes,,,
297,HINDALCO,5903712.0,479.0,No,No,No,Yes,,,
298,HINDCOPPER,4397378.0,116.0,No,No,No,Yes,,,
299,HINDOILEXP,168151.0,139.0,No,No,No,Yes,,,
300,HINDPETRO,1689575.0,237.0,No,No,No,Yes,,,Yes
301,HINDUNILVR,821537.0,2542.0,No,No,Yes,Yes,,,
