,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout
174,DELTACORP,1761768.0,216.0,No,No,No,,,,,,,,Yes,,,,,
175,DEN,790527.0,35.0,No,No,No,,,,,,,,,,,,,
176,DEVYANI,807308.0,177.0,No,No,No,,,,,,,,,,,,,
177,DFMFOODS,128406.0,460.0,No,No,Yes,,,,,,,,Yes,,,63,,
178,DHANI,1909387.0,40.0,No,No,No,,,,,,,,,,,,,
179,DHANUKA,6719.0,719.0,No,No,No,,,,,,,,Yes,,,,,
180,DISHTV,6908590.0,18.0,No,No,No,,,,,,,,,,,,,
181,DIVISLAB,244582.0,3393.0,No,No,Yes,,,,,,,,,,,,,Yes
182,DIXON,87250.0,3922.0,No,No,No,,,,,,,,,,,,,Yes
183,DLF,2002727.0,380.0,No,No,No,,,,,,,,,,,,,
184,DMART,113960.0,4060.0,No,No,Yes,,,,,,,,,,,,,
185,DOLATALGO,59805.0,63.0,No,No,No,,,,,,,,,,,,,
186,DOLLAR,39130.0,426.0,No,No,No,,,,,,,,Yes,,,,,
187,DRREDDY,162147.0,4238.0,No,Yes,No,,,,,,,,,,,,,Yes
188,DWARKESH,2166452.0,105.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 106,,,
189,EASEMYTRIP,5275736.0,53.0,No,No,No,,,,,,,,,,,,,
190,ECLERX,15771.0,1278.0,No,No,No,,,,,,,,,,,,,
191,EDELWEISS,1219959.0,64.0,No,No,No,,,,,,,,,,,,,
192,EICHERMOT,323223.0,3213.0,Yes,No,No,,,,,,,,,,,,,
193,EIDPARRY,147697.0,575.0,No,No,No,,,,,,,,,,,,,
194,EIHOTEL,314279.0,179.0,No,No,No,,,,,,,,Yes,,,,,
195,EKC,401557.0,100.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 101,,,Yes
196,ELECON,268739.0,373.0,No,Yes,No,,,,,,,,Yes,,,,,
197,ELECTCAST,1281589.0,39.0,No,No,No,,,,,,,Yes,,,,,,
198,ELGIEQUIP,213718.0,410.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 475,,,
199,EMAMILTD,204904.0,429.0,No,No,No,,,,,,,,Yes,,,,,
200,EMUDHRA,40562.0,309.0,,No,No,,,,,,,,,,,,Yes,
201,ENDURANCE,8035.0,1381.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1499,,,Yes
202,ENGINERSIN,2027041.0,80.0,No,No,No,,,,,,,,Yes,,,,,
203,EPL,168255.0,169.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 191,,,
204,EQUITASBNK,2476344.0,59.0,No,No,No,,,,,,,,Yes,,,,,
205,ESABINDIA,5133.0,4253.0,Yes,Yes,Yes,,,,,,,,Yes,,,63,,
206,ESCORTS,305453.0,2166.0,Yes,Yes,No,,,,,,,,Yes,,Before wait for breakout of resistance => 2196,,,
207,ETHOSLTD,11997.0,1015.0,,No,Yes,,,,,,,,Yes,,,,,
208,EVEREADY,32649.0,355.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 385,,,Yes
209,EXIDEIND,1729288.0,180.0,No,No,No,,,,,,,,,,,,,
210,FACT,1333036.0,337.0,No,Yes,Yes,,,,,,,,Yes,,,,,
211,FAIRCHEMOR,15673.0,1301.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1625,,,
212,FCL,267839.0,252.0,No,No,No,,,,,,,,,,,,,
213,FDC,53832.0,274.0,No,No,No,,,,,,,,,,,,,
214,FEDERALBNK,24554724.0,137.0,No,No,No,,,,,,,Yes,,,,63,,
215,FILATEX,214079.0,45.0,No,No,No,,,,,,,,,,,,,
216,FINCABLES,366188.0,560.0,No,Yes,No,,,,,,,Yes,,,Before wait for breakout of resistance => 567,,,
217,FINEORG,15166.0,5646.0,Yes,No,No,,,,,,,,,,,,,
218,FINOPB,47220.0,247.0,No,No,Yes,,,,,,,,,,Before wait for breakout of resistance => 262,,,
219,FINPIPE,816028.0,188.0,No,No,Yes,,,,,,,,Yes,,,63,,
220,FLUOROCHEM,38014.0,3100.0,Yes,No,No,,,,,,,,Yes,,,,,
221,FORCEMOT,61049.0,1499.0,No,Yes,No,,,,,,,Yes,,,,63,,
222,FORTIS,280765.0,283.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 303,,,
223,FSL,825496.0,103.0,No,No,No,,,,,,,,,,,,,
224,GABRIEL,318032.0,190.0,No,No,No,,,,,,,,Yes,,,,,
225,GAEL,177568.0,253.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 254,,,
226,GAIL,6050701.0,96.0,No,No,No,,,,,,,,Yes,,,,,
227,GALAXYSURF,5864.0,2467.0,No,No,No,,,,,,,,,,,,,
228,GANESHHOUC,27164.0,364.0,No,No,No,,,,,,,,Yes,,,,,
229,GARFIBRES,4722.0,3122.0,No,No,No,,,,,,,,,,,,,Yes
230,GATEWAY,300931.0,69.0,,No,No,,,,,,,,Yes,,,,,
231,GATI,246490.0,143.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 145,,,
232,GEOJITFSL,272612.0,47.0,No,No,No,,,,,,,,,,,,,
233,GESHIP,182324.0,661.0,No,Yes,Yes,,,,,,,,,,,,,
234,GICRE,8723871.0,196.0,No,No,Yes,,,,,,,,Yes,,,63,,
235,GLAND,95927.0,1575.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 1877,,Yes,
236,GLAXO,50783.0,1303.0,No,No,No,,,,,,,,Yes,,,,,
237,GLENMARK,735382.0,434.0,No,No,No,,,,,,,,Yes,,,,,
238,GLOBUSSPR,53980.0,842.0,No,No,Yes,,,,,,,,,,,,,
239,GLS,39872.0,418.0,No,No,No,,,,,,,,,,,,,
240,GMDCLTD,1049264.0,151.0,No,No,No,,,,,,,,Yes,,,,,
241,GMMPFAUDLR,254010.0,1601.0,No,No,No,,,,,,,,,,,,,
242,GMRINFRA,6123079.0,40.0,No,No,No,,,,,,,,,,,,,
243,GNFC,749246.0,567.0,Yes,No,No,,,,,,,,Yes,,,,,
244,GOCOLORS,13747.0,1174.0,No,No,No,,,,,,,,,,,,,
245,GODFRYPHLP,93270.0,1998.0,No,Yes,Yes,,,,,,,,Yes,,,,,
246,GODREJAGRO,33317.0,474.0,No,No,No,,,,,,,,Yes,,,,,
247,GODREJCP,910243.0,892.0,No,No,Yes,,,,,,,Yes,,,,,,
248,GODREJIND,54190.0,438.0,No,No,Yes,,,,,,,,,,,,,
249,GODREJPROP,490937.0,1243.0,No,No,No,,,,,,,,Yes,,,,,
250,GOKEX,79252.0,366.0,No,No,No,,,,,,,,Yes,,,,,
251,GOODYEAR,37921.0,1140.0,No,No,Yes,,,,,,,Yes,,,Before wait for breakout of resistance => 1155,,,Yes
252,GPIL,1139704.0,409.0,No,No,Yes,,,,,,,Yes,,,,63,,
253,GPPL,3493525.0,104.0,No,No,No,,,,,,,,Yes,,,63,,
254,GRANULES,1639085.0,326.0,No,No,No,,,,,,,,Yes,,,,,
